source,label,target,type,id,kind,weight
Sathanas,FÜHREN,Quinta Anima,directed,e317,führt,
Sathanas,FÜHREN,Sexta Anima,directed,e318,führt,
Sathanas,FÜHREN,Septima Anima,directed,e319,führt,
Sathanas,GEHEN,Infernum,directed,e320,geht in,
Prima Anima,GEHEN,Infernum,directed,e321,geht in,
Secunda Anima,GEHEN,Infernum,directed,e322,geht in,
Tertia Anima,GEHEN,Infernum,directed,e323,geht in,
Quarta Anima,GEHEN,Infernum,directed,e324,geht in,
Quinta Anima,GEHEN,Infernum,directed,e325,geht in,
Sexta Anima,GEHEN,Infernum,directed,e326,geht in,
Septima Anima,GEHEN,Infernum,directed,e327,geht in,
Prima Maria,SINGEN,Ignotus,directed,e328,singt,
Prima Maria,KLAGEN,Ignotus,directed,e329,klagt,
Prima Maria,SPRECHEN,Ignotus,directed,e330,spricht,
Secunda Maria,SINGEN,Ignotus,directed,e331,singt,
Secunda Maria,SPRECHEN,Ignotus,directed,e332,spricht,
Tertia Maria,SINGEN,Ignotus,directed,e333,singt,
Tertia Maria,SPRECHEN,Prima Maria,directed,e334,spricht,
Tertia Maria,SPRECHEN,Secunda Maria,directed,e335,spricht,
Mercator,GEHEN,Scena,directed,e336,geht,
Uxor Mercatori,GEHEN,Scena,directed,e337,geht,
Ancilla,GEHEN,Scena,directed,e338,geht,
Mercator,SPRECHEN,Ignotus,directed,e339,spricht,
Rubin,SPRECHEN,Mercator,directed,e340,spricht,
Mercator,SPRECHEN,Rubin,directed,e341,spricht,
Rubin,SPRECHEN,Mercator,directed,e342,spricht,
Mercator,SPRECHEN,Rubin,directed,e343,spricht,
Rubin,SPRECHEN,Mercator,directed,e344,spricht,
Mercator,SPRECHEN,Rubin,directed,e345,spricht,
Rubin,SPRECHEN,Mercator,directed,e346,spricht,
Mercator,SPRECHEN,Rubin,directed,e347,spricht,
Rubin,SPRECHEN,Mercator,directed,e348,spricht,
Mercator,SPRECHEN,Rubin,directed,e349,spricht,
Rubin,SPRECHEN,Mercator,directed,e350,spricht,
Mercator,SPRECHEN,Rubin,directed,e351,spricht,
Rubin,SPRECHEN,Mercator,directed,e352,spricht,
Mercator,SPRECHEN,Rubin,directed,e353,spricht,
Rubin,SPRECHEN,Mercator,directed,e354,spricht,
Mercator,SPRECHEN,Rubin,directed,e355,spricht,
Rubin,SPRECHEN,Mercator,directed,e356,spricht,
Mercator,SPRECHEN,Rubin,directed,e357,spricht,
Rubin,SPRECHEN,Mercator,directed,e358,spricht,
Rubin,SINGEN,Ignotus,directed,e359,singt,
Rubin,SPRECHEN,Ignotus,directed,e360,spricht,
Mercator,SPRECHEN,Rubin,directed,e361,spricht,
Rubin,SPRECHEN,Mercator,directed,e362,spricht,
Mercator,SPRECHEN,Rubin,directed,e363,spricht,
Rubin,SPRECHEN,Ignotus,directed,e364,spricht,
Pusterbalk,GEHEN,Taberna,directed,e365,kommt,
Pusterbalk,SPRECHEN,Rubin,directed,e366,spricht,
Rubin,SPRECHEN,Pusterbalk,directed,e367,spricht,
Pusterbalk,SPRECHEN,Rubin,directed,e368,spricht,
Rubin,SPRECHEN,Pusterbalk,directed,e369,spricht,
Pusterbalk,GEHEN,Ignotus,directed,e370,geht,
Mercator,SPRECHEN,Rubin,directed,e371,spricht,
Rubin,SPRECHEN,Mercator,directed,e372,spricht,
Rubin,RUFEN,Pusterbalk,directed,e373,ruft,
Pusterbalk,GEHEN,Taberna,directed,e374,kommt,
Pusterbalk,SPRECHEN,Rubin,directed,e375,spricht,
Rubin,SPRECHEN,Pusterbalk,directed,e376,spricht,
Rubin,SCHLAGEN,Pusterbalk,directed,e377,schlägt,
Pusterbalk,SPRECHEN,Rubin,directed,e378,spricht,
Rubin,SPRECHEN,Pusterbalk,directed,e379,spricht,
Mercator,SPRECHEN,Rubin,directed,e380,spricht,
Mercator,SPRECHEN,Pusterbalk,directed,e381,spricht,
Rubin,SPRECHEN,Ignotus,directed,e382,spricht,
Lasterbalk,SPRECHEN,Rubin,directed,e383,spricht,
Rubin,SPRECHEN,Lasterbalk,directed,e384,spricht,
Lasterbalk,SPRECHEN,Rubin,directed,e385,spricht,
Rubin,SPRECHEN,Lasterbalk,directed,e386,spricht,
Lasterbalk,SPRECHEN,Rubin,directed,e387,spricht,
Rubin,SPRECHEN,Lasterbalk,directed,e388,spricht,
Lasterbalk,SPRECHEN,Rubin,directed,e389,spricht,
Rubin,SPRECHEN,Lasterbalk,directed,e390,spricht,
Lasterbalk,SPRECHEN,Rubin,directed,e391,spricht,
Rubin,SPRECHEN,Lasterbalk,directed,e392,spricht,
Lasterbalk,SPRECHEN,Rubin,directed,e393,spricht,
Rubin,SPRECHEN,Lasterbalk,directed,e394,spricht,
Lasterbalk,SINGEN,Uxor Mercatori,directed,e395,singt,
Lasterbalk,SPRECHEN,Uxor Mercatori,directed,e396,spricht,
Uxor Mercatori,SPRECHEN,Lasterbalk,directed,e397,spricht,
Lasterbalk,SPRECHEN,Uxor Mercatori,directed,e398,spricht,
Mercator,SPRECHEN,Rubin,directed,e399,spricht,
Rubin,SPRECHEN,Mercator,directed,e400,spricht,
Rubin,SPRECHEN,Ignotus,directed,e401,spricht,
Mercator,SPRECHEN,Rubin,directed,e402,spricht,
Rubin,SPRECHEN,Mercator,directed,e403,spricht,
Mercator,SPRECHEN,Rubin,directed,e404,spricht,
Rubin,SPRECHEN,Mercator,directed,e405,spricht,
Rubin,GEHEN,Taberna,directed,e406,tritt auf,
Mercator,SPRECHEN,Rubin,directed,e407,spricht,
Rubin,SPRECHEN,Mercator,directed,e408,spricht,
Mercator,SPRECHEN,Rubin,directed,e409,spricht,
Rubin,SPRECHEN,Marien,directed,e410,spricht,
Mercator,SPRECHEN,Rubin,directed,e411,spricht,
Rubin,SPRECHEN,Mercator,directed,e412,spricht,
Tertia Maria,SINGEN,Ignotus,directed,e413,singt,
Tertia Maria,SPRECHEN,Ignotus,directed,e414,spricht,
Secunda Maria,SINGEN,Ignotus,directed,e415,singt,
Secunda Maria,SPRECHEN,Ignotus,directed,e416,spricht,
Tertia Maria,SINGEN,Ignotus,directed,e417,singt,
Tertia Maria,SPRECHEN,Ignotus,directed,e418,spricht,
Mercator,RUFEN,Rubin,directed,e419,ruft,
Rubin,SPRECHEN,Mercator,directed,e420,spricht,
Mercator,RUFEN,Rubin,directed,e421,ruft,
Rubin,SPRECHEN,Mercator,directed,e422,spricht,
Mercator,RUFEN,Rubin,directed,e423,ruft,
Rubin,SPRECHEN,Mercator,directed,e424,spricht,
Mercator,RUFEN,Rubin,directed,e425,ruft,
Rubin,SPRECHEN,Mercator,directed,e426,spricht,
Mercator,SPRECHEN,Rubin,directed,e427,spricht,
Rubin,SPRECHEN,Mercator,directed,e428,spricht,
Mercator,SPRECHEN,Rubin,directed,e429,spricht,
Rubin,SPRECHEN,Mercator,directed,e430,spricht,
Rubin,LAUFEN,Prima Maria,directed,e431,läuft zu,
Rubin,LAUFEN,Secunda Maria,directed,e432,läuft zu,
Rubin,LAUFEN,Tertia Maria,directed,e433,läuft zu,
Rubin,SPRECHEN,Prima Maria,directed,e434,spricht,
Rubin,SPRECHEN,Secunda Maria,directed,e435,spricht,
Rubin,SPRECHEN,Tertia Maria,directed,e436,spricht,
Tertia Maria,SPRECHEN,Rubin,directed,e437,spricht,
Rubin,SPRECHEN,Prima Maria,directed,e438,spricht,
Rubin,SPRECHEN,Secunda Maria,directed,e439,spricht,
Rubin,SPRECHEN,Tertia Maria,directed,e440,spricht,
Prima Maria,SPRECHEN,Rubin,directed,e441,spricht,
Rubin,SPRECHEN,Prima Maria,directed,e442,spricht,
Rubin,SPRECHEN,Secunda Maria,directed,e443,spricht,
Rubin,SPRECHEN,Tertia Maria,directed,e444,spricht,
Rubin,GEHEN,Taberna,directed,e445,geht,
Prima Maria,GEHEN,Taberna,directed,e446,geht,
Secunda Maria,GEHEN,Taberna,directed,e447,geht,
Tertia Maria,GEHEN,Taberna,directed,e448,geht,
Rubin,SINGEN,Prima Maria,directed,e449,singt,
Rubin,SINGEN,Secunda Maria,directed,e450,singt,
Rubin,SINGEN,Tertia Maria,directed,e451,singt,
Rubin,SPRECHEN,Mercator,directed,e452,spricht,
Mercator,SINGEN,Prima Maria,directed,e453,singt,
Mercator,SINGEN,Secunda Maria,directed,e454,singt,
Mercator,SINGEN,Tertia Maria,directed,e455,singt,
Prima Maria,SINGEN,Mercator,directed,e456,singt,
Secunda Maria,SINGEN,Mercator,directed,e457,singt,
Tertia Maria,SINGEN,Mercator,directed,e458,singt,
Mercator,SINGEN,Prima Maria,directed,e459,singt,
Mercator,SINGEN,Secunda Maria,directed,e460,singt,
Mercator,SINGEN,Tertia Maria,directed,e461,singt,
Prima Maria,SINGEN,Mercator,directed,e462,singt,
Secunda Maria,SINGEN,Mercator,directed,e463,singt,
Tertia Maria,SINGEN,Mercator,directed,e464,singt,
Rubin,SPRECHEN,Prima Maria,directed,e465,spricht,
Rubin,SPRECHEN,Secunda Maria,directed,e466,spricht,
Rubin,SPRECHEN,Tertia Maria,directed,e467,spricht,
Secunda Maria,SPRECHEN,Mercator,directed,e468,spricht,
Mercator,SPRECHEN,Secunda Maria,directed,e469,spricht,
Tertia Maria,SPRECHEN,Mercator,directed,e470,spricht,
Mercator,SPRECHEN,Tertia Maria,directed,e471,spricht,
Prima Maria,SPRECHEN,Mercator,directed,e472,spricht,
Mercator,SPRECHEN,Prima Maria,directed,e473,spricht,
Mercator,SPRECHEN,Secunda Maria,directed,e474,spricht,
Mercator,SPRECHEN,Tertia Maria,directed,e475,spricht,
Rubin,SPRECHEN,Mercator,directed,e476,spricht,
Tertia Maria,SPRECHEN,Mercator,directed,e477,spricht,
Mercator,SPRECHEN,Prima Maria,directed,e478,spricht,
Mercator,SPRECHEN,Secunda Maria,directed,e479,spricht,
Mercator,SPRECHEN,Tertia Maria,directed,e480,spricht,
Uxor Mercatori,SPRECHEN,Mercator,directed,e481,spricht,
Mercator,SCHLAGEN,Uxor Mercatori,directed,e482,schlägt,
Mercator,SPRECHEN,Uxor Mercatori,directed,e483,spricht,
Uxor Mercatori,SPRECHEN,Mercator,directed,e484,spricht,
Mercator,SPRECHEN,Uxor Mercatori,directed,e485,spricht,
Uxor Mercatori,SPRECHEN,Mercator,directed,e486,spricht,
Rubin,SPRECHEN,Mercator,directed,e487,spricht,
Ancilla,SPRECHEN,Rubin,directed,e488,spricht,
Rubin,SPRECHEN,Ancilla,directed,e489,spricht,
Ancilla,SPRECHEN,Rubin,directed,e490,spricht,
Rubin,SPRECHEN,Ignotus,directed,e491,spricht,
Mercator,SPRECHEN,Prima Maria,directed,e492,spricht,
Mercator,SPRECHEN,Secunda Maria,directed,e493,spricht,
Mercator,SPRECHEN,Tertia Maria,directed,e494,spricht,
Mercator,SPRECHEN,Rubin,directed,e495,spricht,
Rubin,SPRECHEN,Mercator,directed,e496,spricht,
Mercator,HINLEGEN,Taberna,directed,e497,legt sich,
Rubin,SPRECHEN,Uxor Mercatori,directed,e498,spricht,
Uxor Mercatori,SPRECHEN,Rubin,directed,e499,spricht,
Rubin,GEHEN,Exire,directed,e500,geht,
Uxor Mercatori,GEHEN,Exire,directed,e501,geht,
Mercator,AUFSTEHEN,Taberna,directed,e502,steht auf,
Mercator,SPRECHEN,Ignotus,directed,e503,spricht,
Primus Angelus,SINGEN,Ignotus,directed,e504,singt,
Secundus Angelus,SINGEN,Ignotus,directed,e505,singt,
Tertius Angelus,SINGEN,Ignotus,directed,e506,singt,
Prima Maria,SINGEN,Ignotus,directed,e507,singt,
Secunda Maria,SINGEN,Ignotus,directed,e508,singt,
Tertia Maria,SINGEN,Ignotus,directed,e509,singt,
Prima Maria,SPRECHEN,Ignotus,directed,e510,spricht,
Secunda Maria,SPRECHEN,Ignotus,directed,e511,spricht,
Tertia Maria,SPRECHEN,Ignotus,directed,e512,spricht,
Primus Angelus,SINGEN,Prima Maria,directed,e513,singt,
Primus Angelus,SINGEN,Secunda Maria,directed,e514,singt,
Primus Angelus,SINGEN,Tertia Maria,directed,e515,singt,
Secundus Angelus,SINGEN,Prima Maria,directed,e516,singt,
Secundus Angelus,SINGEN,Secunda Maria,directed,e517,singt,
Secundus Angelus,SINGEN,Tertia Maria,directed,e518,singt,
Tertius Angelus,SINGEN,Prima Maria,directed,e519,singt,
Tertius Angelus,SINGEN,Secunda Maria,directed,e520,singt,
Tertius Angelus,SINGEN,Tertia Maria,directed,e521,singt,
Primus Angelus,SPRECHEN,Prima Maria,directed,e522,spricht,
Primus Angelus,SPRECHEN,Secunda Maria,directed,e523,spricht,
Primus Angelus,SPRECHEN,Tertia Maria,directed,e524,spricht,
Prima Maria,SINGEN,Primus Angelus,directed,e525,singt,
Prima Maria,SINGEN,Secundus Angelus,directed,e526,singt,
Prima Maria,SINGEN,Tertius Angelus,directed,e527,singt,
Secunda Maria,SINGEN,Primus Angelus,directed,e528,singt,
Secunda Maria,SINGEN,Secundus Angelus,directed,e529,singt,
Secunda Maria,SINGEN,Tertius Angelus,directed,e530,singt,
Tertia Maria,SINGEN,Primus Angelus,directed,e531,singt,
Tertia Maria,SINGEN,Secundus Angelus,directed,e532,singt,
Tertia Maria,SINGEN,Tertius Angelus,directed,e533,singt,
Secunda Maria,SPRECHEN,Primus Angelus,directed,e534,spricht,
Secunda Maria,SPRECHEN,Secundus Angelus,directed,e535,spricht,
Secunda Maria,SPRECHEN,Tertius Angelus,directed,e536,spricht,
Secundus Angelus,SPRECHEN,Prima Maria,directed,e537,spricht,
